在原excel中的第几行(行号从1开始),真实数据序号(序号从0开始),转弯角度,转弯速度,vehicleplatenumber,device_num,direction_angle,lng,lat,acc_state,right_turn_signals,left_turn_signals,hand_brake,foot_brake,location_time,gps_speed,mileage
24628,24626,359.0,87.0,AA00160,AAA9102160,359.0,115.76083,28.5253,1,0,0,0,0,2018/9/9 9:53,87.0,15317
24629,24627,359.0,87.0,AA00160,AAA9102160,0.0,115.76083,28.525516,1,0,0,0,0,2018/9/9 9:53,87.0,15317
25077,25075,358.0,79.0,AA00160,AAA9102160,1.0,115.812911,28.545611,1,0,0,0,0,2018/9/9 10:01,79.0,15326
25197,25195,357.0,74.0,AA00160,AAA9102160,359.0,115.818505,28.56753,1,0,0,0,0,2018/9/9 10:03,74.0,15329
25198,25196,357.0,73.0,AA00160,AAA9102160,2.0,115.81851,28.567713,1,0,0,0,0,2018/9/9 10:03,73.0,15329
25363,25361,349.0,73.0,AA00160,AAA9102160,357.0,115.828238,28.59473,1,0,0,0,0,2018/9/9 10:05,73.0,15332
25368,25366,352.0,70.0,AA00160,AAA9102160,7.0,115.828261,28.595766,1,0,0,0,0,2018/9/9 10:06,70.0,15332
32018,32016,358.0,42.0,AA00160,AAA9102160,359.0,115.953376,28.613585,1,0,0,0,0,2018/9/10 5:12,42.0,15365
32019,32017,358.0,42.0,AA00160,AAA9102160,1.0,115.953376,28.61369,1,0,0,0,0,2018/9/10 5:12,42.0,15365
32025,32023,359.0,44.0,AA00160,AAA9102160,359.0,115.953381,28.614348,1,0,0,0,0,2018/9/10 5:13,44.0,15365
32747,32745,359.0,44.0,AA00160,AAA9102160,359.0,115.962936,28.62698,1,0,0,0,0,2018/9/10 5:25,44.0,15368
32748,32746,359.0,45.0,AA00160,AAA9102160,0.0,115.962931,28.627093,1,0,0,0,0,2018/9/10 5:25,45.0,15368
32759,32757,358.0,50.0,AA00160,AAA9102160,358.0,115.962911,28.628298,1,0,0,0,0,2018/9/10 5:25,50.0,15368
32760,32758,357.0,51.0,AA00160,AAA9102160,1.0,115.962915,28.628673,1,0,0,0,0,2018/9/10 5:25,51.0,15368
32795,32793,359.0,41.0,AA00160,AAA9102160,359.0,115.962923,28.631736,1,0,0,0,0,2018/9/10 5:26,41.0,15368
32798,32796,359.0,41.0,AA00160,AAA9102160,359.0,115.962925,28.632048,1,0,0,0,0,2018/9/10 5:26,41.0,15368
32799,32797,359.0,42.0,AA00160,AAA9102160,0.0,115.962925,28.632153,1,0,0,0,0,2018/9/10 5:26,42.0,15368
32800,32798,359.0,41.0,AA00160,AAA9102160,359.0,115.962925,28.632258,1,0,0,0,0,2018/9/10 5:26,41.0,15368
32805,32803,359.0,41.0,AA00160,AAA9102160,359.0,115.962921,28.632665,1,0,0,0,0,2018/9/10 5:26,41.0,15368
32812,32810,355.0,48.0,AA00160,AAA9102160,3.0,115.962918,28.633588,1,0,0,0,0,2018/9/10 5:26,48.0,15369
41511,41509,358.0,45.0,AA00160,AAA9102160,359.0,115.975688,28.624696,1,0,0,0,0,2018/9/10 21:53,45.0,15380
41514,41512,358.0,50.0,AA00160,AAA9102160,0.0,115.975688,28.62506,1,0,0,0,0,2018/9/10 21:53,50.0,15380
41515,41513,359.0,51.0,AA00160,AAA9102160,359.0,115.97569,28.625188,1,0,0,0,0,2018/9/10 21:53,51.0,15381
41517,41515,358.0,51.0,AA00160,AAA9102160,1.0,115.975696,28.62544,1,0,0,0,0,2018/9/10 21:53,51.0,15381
41519,41517,359.0,51.0,AA00160,AAA9102160,359.0,115.975708,28.625693,1,0,0,0,0,2018/9/10 21:53,51.0,15381
41522,41520,359.0,49.0,AA00160,AAA9102160,0.0,115.975718,28.626071,1,0,0,0,0,2018/9/10 21:53,49.0,15381
41523,41521,359.0,50.0,AA00160,AAA9102160,359.0,115.975718,28.626196,1,0,0,0,0,2018/9/10 21:53,50.0,15381
41525,41523,358.0,49.0,AA00160,AAA9102160,0.0,115.975713,28.626443,1,0,0,0,0,2018/9/10 21:53,49.0,15381
41526,41524,359.0,51.0,AA00160,AAA9102160,359.0,115.975711,28.62657,1,0,0,0,0,2018/9/10 21:53,51.0,15381
41527,41525,359.0,51.0,AA00160,AAA9102160,0.0,115.975711,28.626698,1,0,0,0,0,2018/9/10 21:53,51.0,15381
41532,41530,359.0,50.0,AA00160,AAA9102160,359.0,115.975718,28.627333,1,0,0,0,0,2018/9/10 21:53,50.0,15381
41534,41532,359.0,48.0,AA00160,AAA9102160,0.0,115.975716,28.627575,1,0,0,0,0,2018/9/10 21:53,48.0,15381
41578,41576,358.0,42.0,AA00160,AAA9102160,1.0,115.975733,28.630483,1,0,0,0,0,2018/9/10 21:54,42.0,15381
41579,41577,358.0,43.0,AA00160,AAA9102160,359.0,115.975733,28.630593,1,0,0,0,0,2018/9/10 21:54,43.0,15381
41581,41579,358.0,45.0,AA00160,AAA9102160,1.0,115.975735,28.630821,1,0,0,0,0,2018/9/10 21:54,45.0,15381
41603,41601,358.0,43.0,AA00160,AAA9102160,0.0,115.975745,28.632883,1,0,0,0,0,2018/9/10 21:54,43.0,15381
41604,41602,359.0,44.0,AA00160,AAA9102160,359.0,115.975743,28.632995,1,0,0,0,0,2018/9/10 21:54,44.0,15381
41605,41603,359.0,46.0,AA00160,AAA9102160,0.0,115.975743,28.63311,1,0,0,0,0,2018/9/10 21:54,46.0,15381
41606,41604,359.0,47.0,AA00160,AAA9102160,359.0,115.975741,28.633228,1,0,0,0,0,2018/9/10 21:54,47.0,15381
41608,41606,359.0,47.0,AA00160,AAA9102160,0.0,115.97574,28.633463,1,0,0,0,0,2018/9/10 21:55,47.0,15381
41611,41609,358.0,42.0,AA00160,AAA9102160,359.0,115.97574,28.633795,1,0,0,0,0,2018/9/10 21:55,42.0,15381
41666,41664,359.0,41.0,AA00160,AAA9102160,0.0,115.975758,28.635548,1,0,0,0,0,2018/9/10 21:56,41.0,15382
41669,41667,358.0,47.0,AA00160,AAA9102160,359.0,115.975755,28.635886,1,0,0,0,0,2018/9/10 21:56,47.0,15382
41670,41668,359.0,47.0,AA00160,AAA9102160,0.0,115.975755,28.636003,1,0,0,0,0,2018/9/10 21:56,47.0,15382
41676,41674,358.0,47.0,AA00160,AAA9102160,358.0,115.975755,28.636838,1,0,0,0,0,2018/9/10 21:56,47.0,15382
41677,41675,358.0,46.0,AA00160,AAA9102160,0.0,115.975753,28.636955,1,0,0,0,0,2018/9/10 21:56,46.0,15382
41678,41676,359.0,45.0,AA00160,AAA9102160,359.0,115.97575,28.63707,1,0,0,0,0,2018/9/10 21:56,45.0,15382
41679,41677,359.0,44.0,AA00160,AAA9102160,0.0,115.97575,28.637181,1,0,0,0,0,2018/9/10 21:56,44.0,15382
41680,41678,359.0,43.0,AA00160,AAA9102160,359.0,115.97575,28.637291,1,0,0,0,0,2018/9/10 21:56,43.0,15382
41681,41679,359.0,42.0,AA00160,AAA9102160,0.0,115.975751,28.637398,1,0,0,0,0,2018/9/10 21:56,42.0,15382
41682,41680,359.0,41.0,AA00160,AAA9102160,359.0,115.975748,28.637501,1,0,0,0,0,2018/9/10 21:56,41.0,15382
41733,41731,357.0,42.0,AA00160,AAA9102160,358.0,115.975776,28.640631,1,0,0,0,0,2018/9/10 21:57,42.0,15382
41799,41797,359.0,41.0,AA00160,AAA9102160,0.0,115.975775,28.643245,1,0,0,0,0,2018/9/10 21:58,41.0,15382
41800,41798,359.0,41.0,AA00160,AAA9102160,359.0,115.975775,28.643346,1,0,0,0,0,2018/9/10 21:58,41.0,15383
41802,41800,357.0,41.0,AA00160,AAA9102160,0.0,115.975775,28.643553,1,0,0,0,0,2018/9/10 21:58,41.0,15383
41805,41803,359.0,41.0,AA00160,AAA9102160,359.0,115.975775,28.643863,1,0,0,0,0,2018/9/10 21:58,41.0,15383
41807,41805,359.0,43.0,AA00160,AAA9102160,0.0,115.975775,28.644081,1,0,0,0,0,2018/9/10 21:58,43.0,15383
41819,41817,359.0,49.0,AA00160,AAA9102160,359.0,115.9758,28.645553,1,0,0,0,0,2018/9/10 21:58,49.0,15383
41821,41819,359.0,50.0,AA00160,AAA9102160,0.0,115.975791,28.6458,1,0,0,0,0,2018/9/10 21:58,50.0,15383
41822,41820,359.0,50.0,AA00160,AAA9102160,359.0,115.97579,28.645925,1,0,0,0,0,2018/9/10 21:58,50.0,15383
41824,41822,359.0,50.0,AA00160,AAA9102160,0.0,115.975788,28.646178,1,0,0,0,0,2018/9/10 21:58,50.0,15383
41825,41823,359.0,51.0,AA00160,AAA9102160,359.0,115.975788,28.646308,1,0,0,0,0,2018/9/10 21:58,51.0,15383
41828,41826,359.0,41.0,AA00160,AAA9102160,0.0,115.97579,28.646655,1,0,0,0,0,2018/9/10 21:58,41.0,15383
41832,41830,357.0,41.0,AA00160,AAA9102160,2.0,115.975801,28.647043,1,0,0,0,0,2018/9/10 21:58,41.0,15383
41836,41834,359.0,46.0,AA00160,AAA9102160,359.0,115.97582,28.647486,1,0,0,0,0,2018/9/10 21:58,46.0,15383
41837,41835,359.0,48.0,AA00160,AAA9102160,0.0,115.97582,28.647605,1,0,0,0,0,2018/9/10 21:58,48.0,15383
41839,41837,359.0,49.0,AA00160,AAA9102160,359.0,115.975818,28.647851,1,0,0,0,0,2018/9/10 21:58,49.0,15383
41840,41838,359.0,49.0,AA00160,AAA9102160,0.0,115.975818,28.647973,1,0,0,0,0,2018/9/10 21:58,49.0,15383
41841,41839,359.0,49.0,AA00160,AAA9102160,359.0,115.975815,28.648095,1,0,0,0,0,2018/9/10 21:58,49.0,15383
41843,41841,359.0,50.0,AA00160,AAA9102160,0.0,115.975815,28.648345,1,0,0,0,0,2018/9/10 21:58,50.0,15383
41856,41854,359.0,43.0,AA00160,AAA9102160,359.0,115.975826,28.649863,1,0,0,0,0,2018/9/10 21:59,43.0,15383
41859,41857,359.0,46.0,AA00160,AAA9102160,0.0,115.975816,28.650198,1,0,0,0,0,2018/9/10 21:59,46.0,15383
41860,41858,359.0,48.0,AA00160,AAA9102160,359.0,115.97581,28.650316,1,0,0,0,0,2018/9/10 21:59,48.0,15383
41862,41860,359.0,49.0,AA00160,AAA9102160,0.0,115.97581,28.650561,1,0,0,0,0,2018/9/10 21:59,49.0,15383
41864,41862,359.0,51.0,AA00160,AAA9102160,359.0,115.975813,28.650813,1,0,0,0,0,2018/9/10 21:59,51.0,15383
41865,41863,359.0,52.0,AA00160,AAA9102160,0.0,115.975816,28.650945,1,0,0,0,0,2018/9/10 21:59,52.0,15383
41869,41867,358.0,53.0,AA00160,AAA9102160,358.0,115.975823,28.651471,1,0,0,0,0,2018/9/10 21:59,53.0,15383
41886,41884,359.0,45.0,AA00160,AAA9102160,359.0,115.975803,28.65316,1,0,0,0,0,2018/9/10 21:59,45.0,15384
41887,41885,359.0,46.0,AA00160,AAA9102160,0.0,115.975805,28.653275,1,0,0,0,0,2018/9/10 21:59,46.0,15384
41889,41887,359.0,47.0,AA00160,AAA9102160,359.0,115.975806,28.653503,1,0,0,0,0,2018/9/10 21:59,47.0,15384
41890,41888,359.0,47.0,AA00160,AAA9102160,0.0,115.97581,28.653621,1,0,0,0,0,2018/9/10 21:59,47.0,15384
41891,41889,359.0,49.0,AA00160,AAA9102160,359.0,115.975813,28.653741,1,0,0,0,0,2018/9/10 21:59,49.0,15384
41892,41890,359.0,49.0,AA00160,AAA9102160,0.0,115.975816,28.653863,1,0,0,0,0,2018/9/10 21:59,49.0,15384
41960,41958,358.0,42.0,AA00160,AAA9102160,358.0,115.975855,28.657341,1,0,0,0,0,2018/9/10 22:00,42.0,15384
41965,41963,359.0,42.0,AA00160,AAA9102160,0.0,115.975863,28.657886,1,0,0,0,0,2018/9/10 22:01,42.0,15384
41977,41975,359.0,43.0,AA00160,AAA9102160,359.0,115.97589,28.659158,1,0,0,0,0,2018/9/10 22:01,43.0,15384
41978,41976,359.0,44.0,AA00160,AAA9102160,0.0,115.97589,28.659268,1,0,0,0,0,2018/9/10 22:01,44.0,15384
41980,41978,359.0,43.0,AA00160,AAA9102160,359.0,115.975888,28.659488,1,0,0,0,0,2018/9/10 22:01,43.0,15384
43533,43531,357.0,43.0,AA00160,AAA9102160,2.0,115.881541,28.735343,1,0,0,0,0,2018/9/10 22:27,43.0,15406
43894,43892,358.0,79.0,AA00160,AAA9102160,359.0,115.928365,28.785488,1,0,0,0,0,2018/9/10 22:33,79.0,15414
43909,43907,359.0,81.0,AA00160,AAA9102160,0.0,115.928246,28.788561,1,0,0,0,0,2018/9/10 22:33,81.0,15414
44344,44342,358.0,85.0,AA00160,AAA9102160,358.0,115.958071,28.876296,1,0,0,0,0,2018/9/10 22:41,85.0,15425
44935,44933,359.0,76.0,AA00160,AAA9102160,359.0,115.874291,28.94667,1,0,0,0,0,2018/9/10 22:51,76.0,15437
44982,44980,358.0,89.0,AA00160,AAA9102160,0.0,115.8731,28.956815,1,0,0,0,0,2018/9/10 22:52,89.0,15438
45105,45103,359.0,82.0,AA00160,AAA9102160,359.0,115.875936,28.983748,1,0,0,0,0,2018/9/10 22:54,82.0,15441
45463,45461,358.0,80.0,AA00160,AAA9102160,1.0,115.856093,29.47926,1,0,0,0,0,2018/9/10 23:00,80.0,15448
45736,45734,358.0,86.0,AA00160,AAA9102160,1.0,115.843723,29.88635,1,0,0,0,0,2018/9/10 23:04,86.0,15453
45790,45788,358.0,74.0,AA00160,AAA9102160,358.0,115.846065,29.99885,1,0,0,0,0,2018/9/10 23:05,74.0,15455
45920,45918,358.0,84.0,AA00160,AAA9102160,1.0,115.836605,29.120916,1,0,0,0,0,2018/9/10 23:07,84.0,15457
47557,47555,358.0,45.0,AA00160,AAA9102160,0.0,115.772305,29.103581,1,0,0,0,0,2018/9/10 23:35,45.0,15470
47560,47558,359.0,49.0,AA00160,AAA9102160,359.0,115.77233,29.104073,1,0,0,0,0,2018/9/10 23:35,49.0,15470
47563,47561,359.0,48.0,AA00160,AAA9102160,0.0,115.772326,29.10444,1,0,0,0,0,2018/9/10 23:35,48.0,15470
47583,47581,359.0,47.0,AA00160,AAA9102160,359.0,115.77238,29.106901,1,0,0,0,0,2018/9/10 23:36,47.0,15471
47591,47589,357.0,53.0,AA00160,AAA9102160,1.0,115.772345,29.108033,1,0,0,0,0,2018/9/10 23:36,53.0,15471
47601,47599,358.0,48.0,AA00160,AAA9102160,359.0,115.77239,29.109313,1,0,0,0,0,2018/9/10 23:36,48.0,15471
47602,47600,358.0,46.0,AA00160,AAA9102160,1.0,115.772393,29.109431,1,0,0,0,0,2018/9/10 23:36,46.0,15471
47607,47605,358.0,47.0,AA00160,AAA9102160,359.0,115.77241,29.110013,1,0,0,0,0,2018/9/10 23:36,47.0,15471
47609,47607,359.0,47.0,AA00160,AAA9102160,0.0,115.772406,29.110246,1,0,0,0,0,2018/9/10 23:36,47.0,15471
47613,47611,358.0,47.0,AA00160,AAA9102160,359.0,115.772418,29.110733,1,0,0,0,0,2018/9/10 23:36,47.0,15471
47615,47613,358.0,46.0,AA00160,AAA9102160,1.0,115.772421,29.110961,1,0,0,0,0,2018/9/10 23:36,46.0,15471
47618,47616,359.0,49.0,AA00160,AAA9102160,359.0,115.772425,29.11133,1,0,0,0,0,2018/9/10 23:36,49.0,15471
47621,47619,358.0,56.0,AA00160,AAA9102160,0.0,115.77241,29.111733,1,0,0,0,0,2018/9/10 23:36,56.0,15471
47628,47626,359.0,62.0,AA00160,AAA9102160,359.0,115.77243,29.112765,1,0,0,0,0,2018/9/10 23:36,62.0,15471
47633,47631,357.0,50.0,AA00160,AAA9102160,0.0,115.7724,29.113486,1,0,0,0,0,2018/9/10 23:37,50.0,15471
47639,47637,359.0,58.0,AA00160,AAA9102160,359.0,115.772416,29.11429,1,0,0,0,0,2018/9/10 23:37,58.0,15471
51022,51020,359.0,49.0,AA00160,AAA9102160,359.0,115.729315,28.719496,1,0,0,0,0,2018/9/11 0:34,49.0,15529
51045,51043,359.0,47.0,AA00160,AAA9102160,0.0,115.729203,28.722348,1,0,0,0,0,2018/9/11 0:34,47.0,15530
51046,51044,358.0,46.0,AA00160,AAA9102160,358.0,115.729203,28.722461,1,0,0,0,0,2018/9/11 0:34,46.0,15530
51047,51045,357.0,45.0,AA00160,AAA9102160,1.0,115.729208,28.722573,1,0,0,0,0,2018/9/11 0:34,45.0,15530
51048,51046,357.0,43.0,AA00160,AAA9102160,358.0,115.729208,28.722678,1,0,0,0,0,2018/9/11 0:35,43.0,15530
51050,51048,355.0,46.0,AA00160,AAA9102160,3.0,115.729198,28.722903,1,0,0,0,0,2018/9/11 0:35,46.0,15530
51051,51049,351.0,42.0,AA00160,AAA9102160,354.0,115.729193,28.72301,1,0,0,0,0,2018/9/11 0:35,42.0,15530
51070,51068,358.0,45.0,AA00160,AAA9102160,1.0,115.72903,28.724941,1,0,0,0,0,2018/9/11 0:35,45.0,15530
51071,51069,356.0,45.0,AA00160,AAA9102160,357.0,115.729025,28.725055,1,0,0,0,0,2018/9/11 0:35,45.0,15530
51076,51074,352.0,43.0,AA00160,AAA9102160,3.0,115.728988,28.725611,1,0,0,0,0,2018/9/11 0:35,43.0,15530
51078,51076,355.0,44.0,AA00160,AAA9102160,356.0,115.728985,28.725831,1,0,0,0,0,2018/9/11 0:35,44.0,15530
51122,51120,356.0,42.0,AA00160,AAA9102160,359.0,115.728493,28.728465,1,0,0,0,0,2018/9/11 0:36,42.0,15531
51123,51121,354.0,42.0,AA00160,AAA9102160,5.0,115.728506,28.728576,1,0,0,0,0,2018/9/11 0:36,42.0,15531
51127,51125,355.0,43.0,AA00160,AAA9102160,355.0,115.728515,28.729145,1,0,0,0,0,2018/9/11 0:36,43.0,15531
51132,51130,355.0,41.0,AA00160,AAA9102160,3.0,115.728488,28.72969,1,0,0,0,0,2018/9/11 0:36,41.0,15531
51277,51275,351.0,44.0,AA00160,AAA9102160,357.0,115.736546,28.740771,1,0,0,0,0,2018/9/11 0:38,44.0,15532
51376,51374,354.0,43.0,AA00160,AAA9102160,354.0,115.740868,28.751183,1,0,0,0,0,2018/9/11 0:40,43.0,15534
51397,51395,355.0,46.0,AA00160,AAA9102160,3.0,115.739121,28.752978,1,0,0,0,0,2018/9/11 0:40,46.0,15534
51677,51675,347.0,41.0,AA00160,AAA9102160,352.0,115.753363,28.776998,1,0,0,0,0,2018/9/11 0:45,41.0,15537
51727,51725,356.0,42.0,AA00160,AAA9102160,2.0,115.752378,28.78091,1,0,0,0,0,2018/9/11 0:46,42.0,15537
70875,70873,357.0,41.0,AA00160,AAA9102160,0.0,115.70023,28.826061,1,0,0,0,0,2018/9/11 9:01,41.0,15556
70877,70875,357.0,47.0,AA00160,AAA9102160,358.0,115.700235,28.826393,1,0,0,0,0,2018/9/11 9:01,47.0,15556
70878,70876,358.0,46.0,AA00160,AAA9102160,0.0,115.70023,28.826626,1,0,0,0,0,2018/9/11 9:01,46.0,15556
70879,70877,359.0,48.0,AA00160,AAA9102160,359.0,115.700228,28.826743,1,0,0,0,0,2018/9/11 9:01,48.0,15556
70881,70879,359.0,47.0,AA00160,AAA9102160,0.0,115.700223,28.82698,1,0,0,0,0,2018/9/11 9:01,47.0,15556
70882,70880,355.0,46.0,AA00160,AAA9102160,355.0,115.700206,28.827215,1,0,0,0,0,2018/9/11 9:01,46.0,15556
70892,70890,358.0,43.0,AA00160,AAA9102160,0.0,115.700181,28.828376,1,0,0,0,0,2018/9/11 9:01,43.0,15556
71193,71191,352.0,44.0,AA00160,AAA9102160,352.0,115.696951,28.837386,1,0,0,0,0,2018/9/11 9:06,44.0,15559
71196,71194,351.0,41.0,AA00160,AAA9102160,6.0,115.696936,28.837705,1,0,0,0,0,2018/9/11 9:06,41.0,15559
71249,71247,352.0,44.0,AA00160,AAA9102160,5.0,115.697663,28.842896,1,0,0,0,0,2018/9/11 9:07,44.0,15559
71305,71303,356.0,42.0,AA00160,AAA9102160,3.0,115.69893,28.843601,1,0,0,0,0,2018/9/11 9:08,42.0,15560
71307,71305,358.0,42.0,AA00160,AAA9102160,359.0,115.69893,28.843808,1,0,0,0,0,2018/9/11 9:08,42.0,15560
73131,73129,359.0,68.0,AA00160,AAA9102160,0.0,115.771301,29.58856,1,0,0,0,0,2018/9/11 9:39,68.0,15593
73258,73256,359.0,84.0,AA00160,AAA9102160,359.0,115.773415,29.84436,1,0,0,0,0,2018/9/11 9:41,84.0,15596
73260,73258,359.0,83.0,AA00160,AAA9102160,0.0,115.773416,29.84861,1,0,0,0,0,2018/9/11 9:41,83.0,15596
73261,73259,359.0,84.0,AA00160,AAA9102160,359.0,115.773418,29.85073,1,0,0,0,0,2018/9/11 9:42,84.0,15596
73352,73350,357.0,42.0,AA00160,AAA9102160,0.0,115.771356,29.100173,1,0,0,0,0,2018/9/11 9:43,42.0,15598
73450,73448,359.0,41.0,AA00160,AAA9102160,359.0,115.772356,29.104378,1,0,0,0,0,2018/9/11 9:45,41.0,15598
73451,73449,359.0,42.0,AA00160,AAA9102160,0.0,115.772356,29.104483,1,0,0,0,0,2018/9/11 9:45,42.0,15598
73461,73459,359.0,47.0,AA00160,AAA9102160,359.0,115.772385,29.105866,1,0,0,0,0,2018/9/11 9:45,47.0,15598
